Alan Alda,"Alphonso Joseph D'AbruzzoJanuary 28, 1936 (age 82)New York City, U.S.",m,Arlene Alda (m. 1957)
Antony Alda,"Antonio Joseph D'AbruzzoDecember 9, 1956St. Julien, France",m,"Lori Carrell, Leslie Clark"
Robert Alda,"Alphonso Giuseppe Giovanni Roberto D'AbruzzoFebruary 26, 1914New York City, U.S.",m,Joan Browne(m. 1932; div. 1946) Flora Marino (m. 1955)
Norman Alden,"Norman Adelberg[1]September 13, 1924Fort Worth, Texas, U.S.",m,Sharon Hayden (1966–1978; divorced); 2 children
Tom Aldredge,"February 28, 1928Dayton, Ohio, U.S.",m,"Theoni V. Aldredge (1953–January 21, 2011; her death)"
Grant Aleksander,"Grant Aleksander KunkowskiAugust 6, 1960 (age 58)Baltimore, Maryland, U.S.",m,Sherry Ramsey (1987–present)
Frank Aletter,"January 14, 1926Queens, New York City New York, US",m,Lee Meriwether(m. 1958; div. 1974)Estella Aletter (m. 1984)
Cris Alexander,"Alan SmithJanuary 14, 1920Tulsa, Oklahoma, U.S.",m,"Shaun O’Brien ( partner from 1950, m.2011)"
Flex Alexander,"Marc Alexander KnoxApril 15, 1970 (age 48)Harlem, New York, U.S.",m,Shanice (m. 2000)
Jace Alexander,"Jason AlexanderApril 7, 1964 (age 54)New York City, New York, U.S.",m,Maddie Corman (m. 1998)
Jason Alexander,"Jay Scott GreenspanSeptember 23, 1959 (age 59)Newark, New Jersey, U.S.",m,Daena Title (m. 1982)
Ross Alexander,"Alexander Ross SmithJuly 27, 1907Brooklyn, New York, U.S.",m,"Aleta Freel (1934–1935, her suicide) Anne Nagel (1936–1937, his suicide)"
Phillip Alford,"September 11, 1948 (age 70)Gadsden, Alabama, U.S.",m,Carol Sue Moore (? - ?) (divorced) (2 children)
Mahershala Ali,"Mahershalalhashbaz GilmoreFebruary 16, 1974 (age 44)Oakland, California, U.S.",m,Amatus-Sami Karim (m. 2013)
Fred Allen,"May 31, 1894Cambridge, Massachusetts",m,Portland Hoffa (1927-1956; his death)
Harry Allen,"Harry Radford AllenJuly 10, 1883Australia[1]",m,"Marjorie Josephine (née Condon) Allen (1910-1915), Gertrude Dorothea (née Hyde) Allen"
Rex Allen,"Rex Elvie AllenDecember 31, 1920Willcox, Arizona, U.S.",m,Doris Winsor (m. 19??; div. 19??)Bonnie Linder(m. 1946; div. 1973)Virginia Hudson(m. 1992; div. 1999)
Robert Allen,"Irvine E. Theodore BaehrMarch 28, 1906Mount Vernon, New York, U.S.",m,Frances Cookman (1964-?) Evelyn Peirce (1934-1960; her death) 2 children
Woody Allen,"Allan Stewart KonigsbergDecember 1, 1935 (age 83)Brooklyn, New York City, U.S.",m,Harlene Susan Rosen(m. 1956; div. 1962) Louise Lasser(m. 1966; div. 1970) Soon-Yi Previn (m. 1997)
Marshall Allman,"Marshall Scot AllmanApril 5, 1984 (age 34)Austin, Texas, U.S.",m,Jamie Anne Brown (m. 2006)
Sheldon Allman,"June 8, 1924Chicago, Illinois",m,Lorraine Allman
Christopher Allport,"Alexander Wise Allport Jr.June 17, 1947Boston, Massachusetts, U.S.",m,"Susan Hayden (September 12, 1993 – January 25, 2008, his death); 1 son Carolyn Jones (April 18, 1979–1990; divorced); 1 son"
Usman Ally,"August, 27Eswatini",m,Malena Mai
Joaquim de Almeida,"Joaquim António Portugal Baptista de Almeida15 March 1957 (age 61)Lisbon, Portugal",m,Maria Cecília de AlmeidaMaria Risques Pereira
Bruce Altman,"July 3, 1955 (age 63)The Bronx, New York",m,Darcy McGraw (1982–present)
Jeff Altman,"August 13, 1951 (age 67)Syracuse, New York, U.S.",m,"Bonnie Goldstein Altman, Leslie Ackerman (divorced)"
Bobby Alto,"Robert AltomareOctober 30, 1938Brooklyn, New York, U.S.",m,Melody
John Alvin,"John Alvin HoffstadtOctober 24, 1917Chicago, Illinois, U.S.",m,June Lewis(1947–2009) (his death)
Kirk Alyn,"John Feggo Jr.October 8, 1910Oxford, New Jersey, U.S.",m,Virginia O'Brien(m. 1942; div. 1955)
Tom Amandes,"March 9, 1959 (age 59)Richmond, Illinois, U.S.",m,Nancy Everhard (present)
The Amazing Criswell,"Jeron Criswell KonigAugust 7, 1907Princeton, Indiana, U.S.",m,Halo Meadows
Dan Amboyer,"December 28, 1985 (age 32)Detroit, Michigan, U.S.",m,Eric P. Berger (m. 2017)
Don Ameche,"Dominic Felix AmiciMay 31, 1908Kenosha, Wisconsin, U.S.",m,Honore Prendergast (m. 1932–1986) (her death)
Leon Ames,"Harry WycoffJanuary 20, 1902Portland, Indiana, U.S.",m,Christine Gossett (m. 1938)
