Toni Braxton,"Toni Michelle BraxtonOctober 7, 1967 (age 51)Severn, Maryland, U.S.",Keri Lewis(m. 2001; div. 2013)
Paget Brewster,"Paget Valerie BrewsterMarch 10, 1969 (age 49)Concord, Massachusetts, United States[citation needed]",Steve Damstra (m. 2014)
Kate Bristol,"May 1, 1990 (age 28)",Winston Nget (m. 2016)
Ned Brower,"Edward Andrew BrowerDecember 15, 1978 (age 40)Chapel Hill, North Carolina, United States",Sarah Jane Morris
Bobby Brown,"Robert Barisford BrownFebruary 5, 1969 (age 49)Boston, Massachusetts, U.S.",Whitney Houston(m. 1992; div. 2007)Alicia Etheredge-Brown (m. 2012)
James Brown,"James Joseph Brown Jr.May 3, 1933Barnwell, South Carolina, U.S.",Tomi Rae Hynie (m. 2001)Adrienne Rodriguez(m. 1984; died 1996)Deidre Jenkins(m. 1970; div. 1981)Velma Warren(m. 1953; div. 1969)
BT,"October 4, 1971 (age 47)Rockville, Maryland, U.S.",Lacy Transeau (m. 2014)
Benjamin Burnley,"Benjamin Jackson Burnley IVMarch 10, 1978 (age 40)Atlantic City, New Jersey, United States",Rhiannon Burnley (née Napier)
Wendy Calio,"August 7, 1977 (age 41)Wahiawa, Hawaii, U.S.",Jeremy Gilbert (m. 2008)
Cardi B,"Belcalis Marlenis AlmánzarOctober 11, 1992 (age 26)New York City, New York, U.S.","Offset (m. 2017, sep. 2018)"
Mariah Carey,"March 27, 1969 or 1970 (age 48–49)Huntington, New York, U.S.",Tommy Mottola(m. 1993; div. 1998) Nick Cannon(m. 2008; div. 2016)
Vanessa Carlton,"Vanessa Lee CarltonAugust 16, 1980 (age 38)Milford, Pennsylvania, U.S.",John McCauley (m. 2013)
Chris Carmack,"James Christopher CarmackDecember 22, 1980 (age 38)Washington, D.C., United States",Erin Slaver (m. 2018)
Tia Carrere,"Althea Rae JanairoJanuary 2, 1967 (age 51)Honolulu, Hawaii, U.S.",Elie Samaha(m. 1992; div. 2000)Simon Wakelin(m. 2002; div. 2010)
Leslie Carter,"Leslie Barbara CarterJune 6, 1986Tampa, Florida, U.S.",Mike Ashton (m. 2008–2012)
Nick Carter,"Nickolas Gene CarterJanuary 28, 1980 (age 38)Jamestown, New York, U.S.",Lauren Kitt (m. 2014)
Julian Casablancas,"Julian Fernando CasablancasAugust 23, 1978 (age 40)New York City, New York, U.S.",Juliet Joslin (m. 2005)
Johnny Cash,"J.R. CashFebruary 26, 1932Kingsland, Arkansas, U.S.",Vivian Liberto(m. 1954; div. 1966)June Carter(m. 1968; died 2003)
David Cassidy,"David Bruce CassidyApril 12, 1950Manhattan, New York City, U.S.",Kay Lenz(m. 1977; div. 1983)Meryl Tanz(m. 1984; div. 1985)Sue Shifrin(m. 1991; div. 2016)
