Julie Alexander,None,Republican,Jeff Alexander
Kenny Alexander,"Kenneth Cooper AlexanderOctober 17, 1966 (age 52)Norfolk, Virginia, U.S.",Democratic,Donna Burnley
Lamar Alexander,"Andrew Lamar Alexander Jr.July 3, 1940 (age 78)Maryville, Tennessee, U.S.",Republican,Leslee Buhler (m. 1969)
Martha B. Alexander,"Martha BedellAugust 30, 1939 (age 79)Jacksonville, Florida, U.S.",Democratic,James Frost Alexander
Ramon J. Alexander,"October 19, 1984 (age 34)Tallahassee, Florida",Democratic,Taniyah Dawson
Rodney Alexander,"December 5, 1946 (age 72)Bienville, Louisiana, U.S.",Republican (2004–present),Nancy Sutton
Thomas C. Alexander,"July 25, 1956 (age 62)Seneca, South Carolina",Republican,Lynda
Thomas Alfano,"September 9, 1959 (age 59)[1]Brooklyn, New York[1]",Republican,Jacqueline[1]
Justin Alfond,"January 8, 1975 (age 43)Dexter, Maine, U.S.",Democratic,Rachael Weinstein Alfond[1]
Steve Alford,"October 14, 1942 (age 76)Wichita, Kansas",Republican,Margaret (Peggy)
Saqib Ali,"January 21, 1975 (age 43)Chicago, Illinois",Democratic Party (United States),Susan Ali
Michela Alioto-Pier,"April 29, 1968 (age 50)San Francisco, California, U.S.",Democratic,Tom Pier
"Robert LeBreton ""Bret"" Allain, II","November 18, 1958 (age 60)Jeanerette, Louisiana[1]",Republican,Kimberly M. Allain
Wayne Allard,"Alan Wayne AllardDecember 2, 1943 (age 75)Fort Collins, Colorado, U.S.",Republican,Joan Malcolm
Alma A. Allen,"April 7, 1939 (age 79)",Democratic,"Lawrence A. Allen, Sr."
Bernard Allen,"August 24, 1937",Democratic,Vivian (Sneed) Allen
Bob Allen,"September 30, 1958 (age 60)",Republican,Beth Elaine Allen
Chaz Allen,"1970East Point, Georgia",Democrat,Teri
Diane Allen,"March 8, 1948 (age 70)Newark, New Jersey, U.S.",Republican,Sam
George Allen,"George Felix AllenMarch 8, 1952 (age 66)Whittier, California, U.S.",Republican,Anne Rubel (1979–1983)Susan Brown (1986–present)
Jason Allen,"Traverse City, Michigan",Republican,Suzanne
Jim Allen,"August 1, 1952 (age 66)Lander, Wyoming",Republican,Mary Allen
Mark Allen,None,Republican,Nikki Allen
Rick Allen,"November 7, 1951 (age 67)Augusta, Georgia, U.S.",Republican,Robin Allen (m. 1975)
Sheryl L. Allen,"June 30, 1943 (age 75)Salt Lake City, Utah, USA",Republican,John Allen
Sue Allen,"April 17, 1947 (age 71)Oskaloosa, Iowa",Republican,Mike
Sylvia Allen,"April 2, 1947 (age 71)Phoenix, Arizona",Republican,Richard Allen
Tom Allen,"Thomas Hodge Allen April 16, 1945 (age 73)Portland, Maine, U.S.",Democratic,Diana Allen
Travis Allen,"September 14, 1973 (age 45)San Diego, California, U.S.",Republican,Arielle Bailey
Roberto R. Alonzo,"December 25, 1956 (age 61)Crystal City, Texas",Democratic,Sylvana
Elaine Alquist,"August 21, 1944 (age 74)Chicago, Illinois",Democratic,Duncan Benas (engaged)Al Alquist (deceased)
Tiffany Alston,"April 22, 1977 (age 41)Washington, D.C.",Democratic,Kendal Gray
Ronald J. Alting,None,Republican,Pam
Thad Altman,"September 8, 1955 (age 63)Macon, Georgia",Republican,Mary Pat Altman
Jason Altmire,"March 7, 1968 (age 50)Kittanning, Pennsylvania",Democratic,Kelly Altmire
Randy Altschuler,"December 8, 1970 (age 48)New York City, New York, U.S.",Republican,Cheryl Sladkin Altschuler
David Alvarez,"July 27, 1980 (age 38)San Diego, California, U.S.",Democratic,Xochitl Miramontes
Paul Amador,None,Republican,Julie
Justin Amash,"April 18, 1980 (age 38)Grand Rapids, Michigan, U.S.",Republican,Kara Amash
HonorableKevin AmblerEsq.,"March 10, 1961 (age 57)Los Angeles, California",Republican,Mindy Ambler
George Amedore,"April 2, 1969 (age 49)[1]Niskayuna, New York[2]",Republican,Joelle[2]
Carmen M. Amedori,None,Republican,"1) De Paola (divorced), 2) Jerry Barnes"
Jim Ananich,"September 20, 1975 (age 43)Flint, Michigan, U.S.",Democratic,Andrea Abdella
"John Felix ""Andy"" Anders","May 3, 1956 (age 62)",Democratic,Nancy Ratcliff Anders
Margaret Anderson Kelliher,"March 11, 1968 (age 50)Mankato, Minnesota, U.S.",Democratic,David Kelliher
Bill Anderson,"1977 (age 40–41)Sioux City, Iowa, U.S.",Republican,Angie
Bruce Anderson,"March 12, 1950 (age 68)Saint Paul, Minnesota",Republican,"Dottie (until September 2006, her death)Ruth"
Chad Anderson,"April 19, 1979 (age 39)",Republican Party of Minnesota,Anne
Curt Anderson,"Curtis Stovall AndersonOctober 12, 1949 (age 69)Chicago, Illinois, U.S.",Democratic,Divorced
Diane Anderson,"July 28, 1960",Republican Party of Minnesota,Gale
Dick Anderson,"June 15, 1952 (age 66)Willow City, North Dakota",Republican,Susan
Ellen R. Anderson,"November 25, 1959 (age 59)Gary, Indiana",Democratic Farmer Labor Party,Andy Dawkins
Irv Anderson,"April 18, 1923International Falls, Minnesota",DFL,Phyllis
Joel Anderson,"February 11, 1960 (age 58)Detroit, Michigan, U.S.",Republican,Kate Anderson; 3 children
Lee Anderson,"Augusta, Georgia, U.S.",Republican,Donna Robertson
Mark Anderson,"April 1958 (age 60)Minneapolis, Minnesota",Republican Party of Minnesota,Barb
Marti Anderson,"1951 (age 66–67)Des Moines, Iowa, U.S.",Democratic,Bob Brammer
Neil Anderson,"April 14, 1982 (age 36)Davenport, Iowa",Republican,Brandi
Paul Anderson,"June 1951 (age 67)Starbuck, Minnesota",Republican Party of Minnesota,Faith
Paul Anderson,"September 18, 1973 (age 45)",Republican Party of Minnesota,Jamie
Richard L. Anderson,"May 30, 1955 (age 63)Roanoke, Virginia",Republican,Ruth Marian Valentine
Rodney Earl Anderson,"1968Grand Prairie, Dallas CountyTexas, USA",Republican,Heather Jerden Anderson (married 1991)
Sarah Anderson,1972 (age 45–46),Republican Party of Minnesota,Paul Anderson
"Thomas T. ""Tom"" Anderson","August 4, 1967 (age 51)[2]Anchorage, Alaska",Republican,Janet Hallberg(m. 1992; div. 1993)Yvonne Anderson(m. 1998; div. 1999)Lesil McGuire(m. 2005; div. 2010)
Alex Andrade,"July 22, 1989 (age 29)George Town, Cayman Islands",Republican,Jessica Andrade
Jaime Andrade Jr.,None,Democratic,Karen
Allen Andrews,"February 5, 1967 (age 51)St. Joseph, Missouri, United States",Republican,Robin Andrews
Rob Andrews,"Robert Ernest AndrewsAugust 4, 1957 (age 61)Camden, New Jersey, U.S.",Democratic,Camille Spinello
John M. Andrist,"August 1, 1931Crosby, North Dakota",Republican,Elaine Andrist (deceased)
Ken Andrus,"July 14, 1935 (age 83)Marion, Utah, U.S.",Republican,Colleen Lloyd
Robert Andrzejczak,"May 1, 1986 (age 32)",Democratic,Trisha
Mary Pat Angelini,"December 8, 1954 (age 64)",Republican,Robert Angelini
Scott Angelle,"Scott Anthony AngelleNovember 20, 1961 (age 57)Breaux Bridge, Louisiana, U.S.",Democratic (Before 2010)Republican (2010–present),Dianne Bourque
Sharron Angle,"Sharron Elaine OttJuly 26, 1949 (age 69)Klamath Falls, Oregon, U.S.",Republican (before 1992; 1997–present),Theodore Angle (m. 1970)
Liisa Anselmi-Dalton,"Rock Springs, Wyoming",Democratic,Dan Dalton
Dario Anselmo,"May 2, 1962 (age 56)",Republican Party of Minnesota,Jeanne
Bob Anthony,"May 15, 1948 (age 70)Oklahoma City",Republican,Nancy Anthony
Bruce Antone,"November 1, 1960 (age 58)Mobile, Alabama",Democratic,Debra McGowan
Nickie J. Antonio,"June 2, 1955 (age 63)",Democratic,Jean Kosmac
Tom Anzelc,"October 4, 1946 (age 72)Keewatin, Minnesota",Minnesota Democratic–Farmer–Labor Party,Jane (deceased)
Conrad Henry Appel III,"June 17, 1951 (age 67)New OrleansLouisiana, USA",Republican,Carol Ann Appel
Staci Appel,"April 19, 1966 (age 52)Waterloo, Iowa, U.S.[1]",Iowa Democratic Party,Brent R. Appel
Jon Applebaum,"February 13, 1985 (age 33)",Minnesota Democratic–Farmer–Labor Party,Kate Fischer
Juan Arambula,"January 29, 1952 (age 66)Brownsville, TX",Independent (formerly Democrat),Amy Rappaport
Yvonne Arceneaux,"March 1, 1947 (age 71)Watts section of Los Angeles, California",Democratic,"Herbert V. Arceneaux (June 19, 1965 - present)"
Stephen Archambault,"August 11, 1965Smithfield, Rhode Island",Democratic,Marie Rodriguez
Michael Arcuri,"June 11, 1959 (age 59)Utica, New York",Democratic,Sabrina Deon-Arcuri
Jim Ardis,"c. 1958–1960Peoria, Illinois, U.S.",Republican,Mimi
John Arena,"c. 1965-1966Chicago, Illinois",Democratic,Jill
Joe Aresimowicz,"November 5, 1970 (age 48)Berlin, Connecticut, U.S.",Democratic,Crystal
David G. Argall,"November 21, 1958West Chester, Pennsylvania",Republican,Beth Argall
John Armato,"June 13, 1948 (age 70)",Democratic,Marie
Don Armes,"Donald Lee Armes31 July 1961 (age 57)Midwest City, Oklahoma",Republican,Dede Armes
James Kimbrell Armes III,"April 5, 1951 (age 67)",Democratic,"(1) Divorced from Anne Leonora Tucker Armes, since Anne Chapman (2) Missing"
Dick Armey,"Richard Keith ArmeyJuly 7, 1940 (age 78)Cando, North Dakota, U.S.",Republican,Susan Armey
Tim Armstead,"February 26, 1965 (age 53)Charleston, West Virginia, U.S.",Republican,Anna Armstead
Kelly Armstrong,"October 8, 1976 (age 42)Dickinson, North Dakota, U.S.",Republican,Kjersti Høiby
Ward Armstrong,"Ward Lynn ArmstrongJune 2, 1956 (age 62)Bassett, Virginia, U.S.",Democratic,Pamela Akers
Jim Arnold,"December 2, 1950 (age 68)Michigan City, Indiana",Democratic,Lauren Arnold
Tom Arpke,"February 6, 1952 (age 66)[1]El Paso, Texas",Republican,Beth Arpke
Jodey Arrington,"Jodey Cook ArringtonMarch 9, 1972 (age 46)Plainview, Texas, U.S.",Republican,Anne Arrington
Katie Arrington,"December 6, 1970 (age 48)Virginia, U.S.",Republican,Robert Arrington
Luis Arroyo,"June 13, 1954 (age 64)Corozal, Puerto Rico",Democratic,Maribel
Frank Artiles,"April 22, 1973 (age 45)Los Angeles, California",Republican,Aimee Sontag
Marsha Arzberger,"1937 (age 80–81)Saint Joseph, Missouri",Democratic,Gus
Randy Asbury,"October 4, 1958 (age 60)Fayette, Missouri, U.S.",Republican,Connie Asbury
Trent Edward Ashby,"October 9, 1972 (age 46)Rusk County, Texas, USA",Republican,"Nicole Marie Cormack ""Nickie"" Ashby"
John Ashcroft,"John David AshcroftMay 9, 1942 (age 76)Chicago, Illinois, U.S.",Republican,Janet Ashcroft
Brian Ashe,"April 23, 1963 (age 55)",Democratic,Sonja M. Ashe
Kathy Ashe,"November 14, 1946 (age 72)Dekalb, Illinois",Democratic,Lawrence
Tim Ashe,"December 10, 1976 (age 42)Framingham, Massachusetts, U.S.",Democratic,Paula Routly
Scott Ashjian,"Jon Scott Ashjian1963 (age 54–55)Fresno, California, U.S.",Tea Party of Nevada,Bonnie
Bill Aswad,"January 15, 1922Binghamton, New York",Democratic,Marjorie G. Aswad (d. 1998)
Clay Athey,"Clifford L. AtheySeptember 1, 1960 (age 58)Front Royal, Virginia, U.S.",Republican,Stacey Lynne Knox
Jeanne Atkins,"1949/1950 (age 68–69)Bremerton, Washington, U.S.",Democratic,John Atkins
Joe Atkins,"October 6, 1965 (age 53)South St. Paul, Minnesota",Minnesota Democratic–Farmer–Labor Party,Julia
Toni Atkins,"August 1, 1962 (age 56)Wythe County, Virginia, U.S.",Democratic,Jennifer LeSar
Jason A. Atkinson,"November 6, 1970 (age 48)Sacramento, California, U.S.",Republican,Stephanie Atkinson
Jeff Atwater,"Jeffrey Hardee AtwaterApril 8, 1958 (age 60)St. Louis, Missouri, U.S.",Republican,Carole Funkhouser
Darrel Aubertine,"June 3, 1953 (age 65)[1]Cape Vincent, New York[1]",Democratic,Margaret[1]
Kathy Augustine,"May 29, 1956Los Angeles, California, U.S.",Republican,"Charles Augustine (d. August 19, 2003)William Charles Higgs (m. September 19, 2003–July 11, 2006; her death)"
Ryan Aument,"December 16, 1976",Republican,Kate Aument
Loranne Ausley,"October 16, 1963 (age 55)",Democratic,Bill Hollimon
Carrie Austin,None,Democratic,Lemuel Austin
Susan M. Austin,None,Republican,Ernest
Terri Austin,"May 17, 1955 (age 63)Elwood, Indiana, U.S.",Democratic,Michael
Terry Austin,"October 16, 1955 (age 63)Roanoke, Virginia",Republican,Kathy Stevens
Steve Austria,"Stephen Clement AustriaOctober 12, 1958 (age 60)Cincinnati, Ohio, U.S.",Republican,Eileen
Robert J. Auth,"July 4, 1956 (age 62)",Republican,Elsa
John Autry,"Johnnie Newton AutryMarch 16, 1953 (age 65)Fayetteville, North Carolina",Democratic,Rebecca
Brad Avakian,"February 4, 1961 (age 57)Fresno, California, U.S.",Democratic,Deborah Avakian
Kevin Avard,"1963Everett, Washington",Republican,Tracy
Tony Avella,"October 27, 1951 (age 67)[1]Astoria, Queens[1]",Democratic,Judith Cashman
Joseph Avellone,"Joseph Charles Avellone IIISeptember 29, 1948 (age 70)Fremont, Ohio, U.S.",Democratic,Sandra Avellone
Kip Averitt,"October 31, 1954 (age 64)Crane, Crane CountyTexas",Republican,Ginger Averitt
Bryan Avila,"June 25, 1984 (age 34)Hialeah, Florida",Republican,Cindy Gil-Avila
Jimmie Don Aycock,"October 14, 1946 (age 72)Bell County, Texas, USA",Republican,Ellen Marie McKamie Aycock (m. 1967)
Claire D. Ayer,"September 21, 1948 (age 70)Quincy, Massachusetts",Democratic,Alan
Michael Aylesworth,"Michael J. AylesworthMarch 24, 1943 (age 75)Hebron, Indiana",Republican,Dolores RaeHaberlin
Kelly Ayotte,"Kelly Ann AyotteJune 27, 1968 (age 50)Nashua, New Hampshire, U.S.",Independent (before 2003)[1]Republican (2003–present),Joseph Daley (m. 2001)
Brian Babin,"Brian Philip Babin[1]March 23, 1948 (age 70)Port Arthur, Texas, U.S.",Republican,Roxanne (m. 1972)
Joe Baca,"Joseph Natalio BacaJanuary 23, 1947 (age 71)Belen, New Mexico, U.S.","Democratic (Before 2015, 2018–present)Republican (2015–2016)Independent (2016–2018)",Barbara Baca
Joe Baca Jr.,"October 8, 1969 (age 49)Barstow, California, U.S.",Democratic,Jennifer Baca
"Anthony Joseph ""Tony"" Bacala, Jr.",July 1957,Republican,Lisa Faucheux Bacala
Michele Bachmann,"Michele Marie AmbleApril 6, 1956 (age 62)Waterloo, Iowa, U.S.",Republican,Marcus Bachmann (m. 1978)
Spencer Bachus,"Spencer Thomas Bachus IIIDecember 28, 1947 (age 70)Birmingham, Alabama, U.S.",Republican,Linda Bachus
Jeff Backer,"January 3, 1967 (age 51)Browns Valley, Minnesota",Republican Party of Minnesota,Judy Gnifkowski
Bob Bacon,"July 14, 1935 (age 83)Galesburg, IL",Democratic,Bev
Don Bacon,"Donald John BaconAugust 16, 1963 (age 55)Momence, Illinois, U.S.",Republican,Angie Bacon (m. 1984)
Mamye E. BaCote,"Mayme EdmondsonFebruary 18, 1939 (age 79)Halifax, Virginia, U.S.",Democratic,"Theodore Edward BaCote, Jr."
Herman Baertschiger Jr.,None,Republican,Leta Baertschiger
Sally Bagshaw,"February 15, 1951 (age 67)Portland, Oregon",Democratic,Brad Bagshaw
Cal Bahr,"07/17/1962Cook County, Minnesota",Republican Party of Minnesota,Ellen
"Ernest James Bailes, IV","April 13, 1982 (age 36)San Jacinto County, Texas, USA",Republican,Courtney Bailes
Billy Wayne Bailey,"June 7, 1957 (age 61)Bluefield, West Virginia",Democratic,Allison N. Hughart
Darren Bailey,None,Republican,Cindy Stortzum[1]
